1,1,1,2024-01-10,2024-01-13,4500.00
2,2,3,2024-01-15,2024-01-18,5200.00
3,3,2,2024-02-01,2024-02-03,2800.00
4,1,7,2024-02-10,2024-02-15,7500.00
5,4,5,2024-02-20,2024-02-22,1800.00
6,5,1,2024-03-05,2024-03-08,4200.00
7,2,4,2024-03-10,2024-03-12,2100.00
8,6,8,2024-03-15,2024-03-18,3600.00
9,7,6,2024-04-01,2024-04-04,3300.00
10,3,10,2024-04-05,2024-04-08,4800.00
11,8,9,2024-04-10,2024-04-12,2400.00
12,1,3,2024-04-15,2024-04-17,3400.00
13,9,7,2024-05-01,2024-05-05,6000.00
14,10,2,2024-05-10,2024-05-13,3900.00
15,4,1,2024-05-15,2024-05-18,4500.00
